name,city,country_iso,iata,icao,lat,lon,type,country
Eppley Airfield,Omaha,US,OMA,KOMA,41.3032,-95.894096,large_airport,United States
Ontario International Airport,Ontario,US,ONT,KONT,34.056,-117.600998,large_airport,United States
Miami-Opa Locka Executive Airport,Miami,US,OPF,KOPF,25.907,-80.278397,medium_airport,United States
Chicago O'Hare International Airport,Chicago,US,ORD,KORD,41.9786,-87.9048,large_airport,United States
Norfolk International Airport,Norfolk,US,ORF,KORF,36.895341,-76.201,large_airport,United States
Worcester Regional Airport,Worcester,US,ORH,KORH,42.2673,-71.875702,medium_airport,United States
Orcas Island Airport,Eastsound,US,ESD,KORS,48.708199,-122.910004,medium_airport,United States
Southwest Oregon Regional Airport,North Bend,US,OTH,KOTH,43.41709899902344,-124.24600219726562,medium_airport,United States
Owensboro Daviess County Airport,Owensboro,US,OWB,KOWB,37.74010086,-87.16680145,medium_airport,United States
Ocean City Municipal Airport,Ocean City,US,OCE,KOXB,38.310398,-75.124001,medium_airport,United States
Seattle Paine Field International Airport,Everett,US,PAE,KPAE,47.9063,-122.281998,medium_airport,United States
Barkley Regional Airport,Paducah,US,PAH,KPAH,37.06079864501953,-88.7738037109375,medium_airport,United States
Plattsburgh International Airport,Plattsburgh,US,PBG,KPBG,44.650902,-73.468102,medium_airport,United States
President Donald J. Trump International Airport,West Palm Beach,US,DJT,KDJT,26.683201,-80.095596,large_airport,United States
DeKalb Peachtree Airport,Atlanta,US,PDK,KPDK,33.87633,-84.30213,medium_airport,United States
Eastern Oregon Regional Airport at Pendleton,Pendleton,US,PDT,KPDT,45.695099,-118.841003,medium_airport,United States
Portland International Airport,Portland,US,PDX,KPDX,45.588699,-122.598,large_airport,United States
Page Municipal Airport,Page,US,PGA,KPGA,36.924234,-111.447716,medium_airport,United States
Punta Gorda Airport,Punta Gorda,US,PGD,KPGD,26.9202,-81.990501,medium_airport,United States
Pitt-Greenville Airport,Greenville,US,PGV,KPGV,35.635535,-77.384262,medium_airport,United States
Newport News Williamsburg International Airport,Newport News,US,PHF,KPHF,37.131901,-76.492996,medium_airport,United States
Philadelphia International Airport,Philadelphia,US,PHL,KPHL,39.871899,-75.241096,large_airport,United States
Phoenix Sky Harbor International Airport,Phoenix,US,PHX,KPHX,33.435302,-112.005905,large_airport,United States
General Wayne A. Downing Peoria International Airport,Peoria,US,PIA,KPIA,40.663841,-89.692631,medium_airport,United States
Hattiesburg Laurel Regional Airport,Moselle,US,PIB,KPIB,31.4671,-89.337097,medium_airport,United States
St. Petersburg Clearwater International Airport,Pinellas Park,US,PIE,KPIE,27.9102,-82.687401,large_airport,United States
Pocatello Regional Airport,Pocatello,US,PIH,KPIH,42.9098014831543,-112.59600067138672,medium_airport,United States
Pierre Regional Airport,Pierre,US,PIR,KPIR,44.38270187,-100.2860031,medium_airport,United States
Pittsburgh International Airport,Pittsburgh,US,PIT,KPIT,40.491501,-80.232903,large_airport,United States
Mid Ohio Valley Regional Airport,Parkersburg (Williamstown),US,PKB,KPKB,39.3451,-81.439201,medium_airport,United States
Pellston Regional Airport of Emmet County Airport,Pellston,US,PLN,KPLN,45.57089996,-84.79669952,medium_airport,United States
Pensacola International Airport,Pensacola,US,PNS,KPNS,30.472718,-87.186639,large_airport,United States
Presque Isle International Airport,Presque Isle,US,PQI,KPQI,46.688999,-68.0448,medium_airport,United States
Prescott Regional Airport - Ernest A. Love Field,Prescott,US,PRC,KPRC,34.653502,-112.419883,medium_airport,United States
Tri Cities Airport,Pasco,US,PSC,KPSC,46.264702,-119.119003,medium_airport,United States
Portsmouth International Airport at Pease,Portsmouth,US,PSM,KPSM,43.0779,-70.823303,medium_airport,United States
Palm Springs International Airport,Palm Springs,US,PSP,KPSP,33.8297,-116.507004,large_airport,United States
Pueblo Memorial Airport,Pueblo,US,PUB,KPUB,38.289101,-104.497002,medium_airport,United States
Pullman-Moscow Regional Airport,Pullman,US,PUW,KPUW,46.741601,-117.11163,medium_airport,United States
Rhode Island T. F. Green International Airport,Providence/Warwick,US,PVD,KPVD,41.725038,-71.425668,large_airport,United States
Provo Municipal Airport,Provo,US,PVU,KPVU,40.218894,-111.722445,medium_airport,United States
Portland International Jetport,Portland,US,PWM,KPWM,43.646198,-70.309303,large_airport,United States
Rapid City Regional Airport,Rapid City,US,RAP,KRAP,44.0452995300293,-103.05699920654295,medium_airport,United States
Redding Municipal Airport,Redding,US,RDD,KRDD,40.50899887,-122.2929993,medium_airport,United States
Roberts Field,Redmond,US,RDM,KRDM,44.254101,-121.150002,medium_airport,United States
Raleigh-Durham International Airport,Raleigh/Durham,US,RDU,KRDU,35.878659,-78.7873,large_airport,United States
Chicago Rockford International Airport,Chicago/Rockford,US,RFD,KRFD,42.1954,-89.097198,medium_airport,United States
Rhinelander Oneida County Airport,Rhinelander,US,RHI,KRHI,45.63119888305664,-89.46749877929688,medium_airport,United States
Richmond International Airport,Richmond,US,RIC,KRIC,37.505199,-77.319702,large_airport,United States
Central Wyoming Regional Airport,Riverton,US,RIW,KRIW,43.064201,-108.459999,medium_airport,United States
